,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,vO_reported,vO_SD_reported,kon_C,kon_C_95CI_low,kon_C_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,taxonomy,note,short_ref,pmid_or_doi,citation
356,Porphyridium purpureum,porphyridium_uemura,1,0,False,22,2.01,1.4,0.0832,144,5.8,,,,,,,,0.0636,0.0518,0.0793,,,,,,25,8,1,Red algae,KC and kcatC from Read and Tabita 1994,Uemura 1997,https://doi.org/10.1093/oxfordjournals.pcp.a028949,"Uemura K, Anwaruzzaman Miyachi S, Yokota A. 1997. Ribulose-1,5-bisphosphate carboxylase/oxygenase from thermophilicred algae with a strong specificity for CO2 fixation. Biochemical and Biophysical Research Communications 233, 568–571."
357,Cyanidium caldarium,cyanidium_uemura,1,0,False,6.7,0.612,1.3,0.0773,225,4.8,,,,,,,,0.194,0.158,0.243,,,,,,25,8,1,Red algae,,Uemura 1997,https://doi.org/10.1093/oxfordjournals.pcp.a028949,"Uemura K, Anwaruzzaman Miyachi S, Yokota A. 1997. Ribulose-1,5-bisphosphate carboxylase/oxygenase from thermophilicred algae with a strong specificity for CO2 fixation. Biochemical and Biophysical Research Communications 233, 568–571."
358,Plantago lanceolata L.,lanceolata_viil,1,0,False,,,,,77.3,12.9,,,,,,,,,,,,,,,,25,,1,C3 plants,Plantain. See text for leaf temp at measurement. Roughly 25 C.,Viil 2012,https://doi.org/10.1007/s11099-012-0026-6,"J. Viil and H. Ivanova, Specificity factor of Rubisco: estimation in intact leaves by carboxylation at different CO2/O2 ratios, Photosynthetica, June 2012, Volume 50, Issue 2, pp 247–251"
359,Nicotiana glauca Grah.,glauca_viil,1,0,False,,,,,73.7,16,,,,,,,,,,,,,,,,25,,1,C3 plants,Tobacco. See text for leaf temp at measurement. Roughly 25 C.,Viil 2012,https://doi.org/10.1007/s11099-012-0026-6,"J. Viil and H. Ivanova, Specificity factor of Rubisco: estimation in intact leaves by carboxylation at different CO2/O2 ratios, Photosynthetica, June 2012, Volume 50, Issue 2, pp 247–252"
360,Helianthus annuus L.,annuus_viil,1,0,False,,,,,73.6,18.3,,,,,,,,,,,,,,,,25,,1,C3 plants,Sunflower. See text for leaf temp at measurement. Roughly 25 C.,Viil 2012,https://doi.org/10.1007/s11099-012-0026-6,"J. Viil and H. Ivanova, Specificity factor of Rubisco: estimation in intact leaves by carboxylation at different CO2/O2 ratios, Photosynthetica, June 2012, Volume 50, Issue 2, pp 247–253"
361,Hordeum vulgare L.,vulgare_viil,1,0,False,,,,,86.9,9.33,,,,,,,,,,,,,,,,25,,1,C3 plants,Barley. See text for leaf temp at measurement. Roughly 25 C.,Viil 2012,https://doi.org/10.1007/s11099-012-0026-6,"J. Viil and H. Ivanova, Specificity factor of Rubisco: estimation in intact leaves by carboxylation at different CO2/O2 ratios, Photosynthetica, June 2012, Volume 50, Issue 2, pp 247–253"
362,Triticum aestivum cv. Saratovskaya 29,aestivum_saratovskaya_viil,1,0,False,,,,,88.9,6.8,,,,,,,,,,,,,,,,25,,1,C3 plants,Wheat. See text for leaf temp at measurement. Roughly 25 C.,Viil 2012,https://doi.org/10.1007/s11099-012-0026-6,"J. Viil and H. Ivanova, Specificity factor of Rubisco: estimation in intact leaves by carboxylation at different CO2/O2 ratios, Photosynthetica, June 2012, Volume 50, Issue 2, pp 247–253"
363,Nicotiana tabacum L. cv. W38,tabacum_W38_von_caemmerer,1,0,False,13.5,1.7,3.64,0.22,102,3.51,313,41.3,0.829,0.56,1.21,,,0.27,0.21,0.366,0.00265,0.00205,0.00361,,,25,,1,C3 plants,in-planta measurement. gw = ∞ = conductance for CO2 transfer from the substomatal cavities to the sites of carboxylation. ,von Caemmerer 1994,https://doi.org/10.1007/BF00206296,"Susanne von Caemmerer, John R. Evans, Graham S. Hudson and T. John Andrews, The kinetics of ribulose-1,5-bisphosphate carboxylase/oxygenase in vivo inferred from measurements of photosynthesis in leaves of transgenic tobacco, Planta, November 1994, Volume 195, Issue 1, pp 88–97"
364,Nicotiana tabacum L. cv. W38,tabacum_W38_von_caemmerer,1,0,False,8.6,1.7,3.53,0.18,97.5,3.35,226,29.8,0.947,0.603,1.65,,,0.411,0.292,0.665,0.00421,0.00297,0.00689,,,25,,1,C3 plants,in-planta measurement. gw = 0.3 = conductance for CO2 transfer from the substomatal cavities to the sites of carboxylation = 0.3. ,von Caemmerer 1994,https://doi.org/10.1007/BF00206296,"Susanne von Caemmerer, John R. Evans, Graham S. Hudson and T. John Andrews, The kinetics of ribulose-1,5-bisphosphate carboxylase/oxygenase in vivo inferred from measurements of photosynthesis in leaves of transgenic tobacco, Planta, November 1994, Volume 195, Issue 1, pp 88–97"
365,Arabidopsis thaliana cv. Columbia,thaliana_columbia_walker,1,0,False,,,3.3,0.1,105,7.3,,,,,,,,,,,,,,,,25,,1,C3 plants,vC In vivo,Walker 2013,23869820,"Walker B, Ariza LS, Kaines S, Badger MR, Cousins AB. Temperature response of in vivo Rubisco kinetics and mesophyll conductance in Arabidopsis thaliana: comparisons to Nicotiana tabacum. Plant Cell Environ. 2013 Dec;36(12):2108-19. doi: 10.1111/pce.12166"
366,Nicotiana tabacum,tabacum_walker,1,0,False,,,3.3,0.3,94.2,11.7,,,,,,,,,,,,,,,,25,,1,C3 plants,vC In vitro,Walker 2013,23869820,"Walker B, Ariza LS, Kaines S, Badger MR, Cousins AB. Temperature response of in vivo Rubisco kinetics and mesophyll conductance in Arabidopsis thaliana: comparisons to Nicotiana tabacum. Plant Cell Environ. 2013 Dec;36(12):2108-19. doi: 10.1111/pce.12166"
367,Nicotiana tabacum,tabacum_whitney,1,0,False,10.7,0.6,3.4,0.1,82,2,295,71,1.14,0.605,1.72,1.14,,0.318,0.282,0.362,0.00388,0.0034,0.00446,18.8,3.2,25,8,1,C3 plants,,Whitney 2001,26662726,"Whitney SM, Baldet P, Hudson GS, Andrews TJ. Form I Rubiscos from non-green algae are expressed abundantly but not assembled in tobacco chloroplasts. Plant J. 2001 Jun;26(5):535-47."
368,Phaeodactylum tricornutum,triconutum_whitney,1,0,False,27.9,0.4,3.4,0.1,113,1,467,22,0.503,0.448,0.562,0.504,,0.122,0.114,0.13,0.00108,0.00101,0.00115,56,6,25,8,1,Diatoms,,Whitney 2001,26662726,"Whitney SM, Baldet P, Hudson GS, Andrews TJ. Form I Rubiscos from non-green algae are expressed abundantly but not assembled in tobacco chloroplasts. Plant J. 2001 Jun;26(5):535-47."
369,Griffithsia monilis,monilis_whitney,1,0,False,9.3,0.8,2.6,0.1,167,3,,,,,,,,0.28,0.235,0.342,,,,44,2,25,8,1,Red algae,,Whitney 2001,26662726,"Whitney SM, Baldet P, Hudson GS, Andrews TJ. Form I Rubiscos from non-green algae are expressed abundantly but not assembled in tobacco chloroplasts. Plant J. 2001 Jun;26(5):535-47."
370,Galdieria sulfuraria,sulfuraria_whitney,1,0,False,3.3,0.4,1.2,0.1,166,6,374,92,0.817,0.401,1.38,0.819,,0.364,0.277,0.5,0.00219,0.00166,0.00302,92,9,25,8,1,Red algae,,Whitney 2001,26662726,"Whitney SM, Baldet P, Hudson GS, Andrews TJ. Form I Rubiscos from non-green algae are expressed abundantly but not assembled in tobacco chloroplasts. Plant J. 2001 Jun;26(5):535-47."
371,Flaveria bidentis,bidentis_whitney,1,0,False,20.4,0.5,4.8,0.3,81,1,420,37,1.22,0.962,1.5,1.2,,0.235,0.205,0.267,0.00291,0.00253,0.0033,,,25,8,1,C4 plants,,Whitney 2011,21849620,"Whitney, S. M., Sharwood, R. E., Orr, D., White, S. J., Alonso, H., and Galmés, J. (2011). Isoleucine 309 acts as a C4 catalytic switch that increases ribulose-1,5-bisphosphate carboxylase/oxygenase (rubisco) carboxylation rate in Flaveria. Proc. Natl. Acad. Sci. U. S. A. 108, 14688–14693."
372,Flaveria floridana,floridana_whitney,1,0,False,14.4,0.5,3.6,0.1,82,2,374,33,1.14,0.92,1.38,1.1,,0.25,0.229,0.273,0.00305,0.00276,0.00337,,,25,8,1,C3 plants,C3/C4 intermediate,Whitney 2011,21849620,"Whitney, S. M., Sharwood, R. E., Orr, D., White, S. J., Alonso, H., and Galmés, J. (2011). Isoleucine 309 acts as a C4 catalytic switch that increases ribulose-1,5-bisphosphate carboxylase/oxygenase (rubisco) carboxylation rate in Flaveria. Proc. Natl. Acad. Sci. U. S. A. 108, 14688–14693."
373,Flaveria pringlei,pringlei_whitney,1,0,False,13.7,0.5,3.5,0.3,81,1,376,35,1.18,0.9,1.52,1,,0.255,0.21,0.304,0.00315,0.00259,0.00376,,,25,8,1,C3 plants,,Whitney 2011,21849620,"Whitney, S. M., Sharwood, R. E., Orr, D., White, S. J., Alonso, H., and Galmés, J. (2011). Isoleucine 309 acts as a C4 catalytic switch that increases ribulose-1,5-bisphosphate carboxylase/oxygenase (rubisco) carboxylation rate in Flaveria. Proc. Natl. Acad. Sci. U. S. A. 108, 14688–14693."
375,Methanococcoides burtonii K332E,burtoniiK332E_tobacco_wilson,1,0,Tobacco,78.7,2.4,1.2,0.1,1.3,0.1,24.4,4,0.284,0.183,0.409,0.3,,0.0152,0.0126,0.018,0.0117,0.00924,0.0147,4.5,0.8,25,7.2 or 8.0,2_3,Archaea,,Wilson 2016,26926260,"Wilson, Robert H., Hernan Alonso, and Spencer M. Whitney. 2016. “Evolving Methanococcoides Burtonii Archaeal Rubisco for Improved Photosynthesis and Plant Growth.” Scientific Reports 6 (March):22284."
376,Methanococcoides burtonii,burtonii_tobacco_wilson,1,0,Tobacco,56.9,1.8,0.6,0.1,1.3,0.1,11.2,1.4,0.0901,0.0557,0.136,0.09,,0.0106,0.00708,0.0141,0.00812,0.00534,0.0114,4,0.5,25,7.2 or 8.0,2_3,Archaea,,Wilson 2016,26926260,"Wilson, Robert H., Hernan Alonso, and Spencer M. Whitney. 2016. “Evolving Methanococcoides Burtonii Archaeal Rubisco for Improved Photosynthesis and Plant Growth.” Scientific Reports 6 (March):22284."
394,Spinacia oleracea,oleracea_yamori,1,0,False,,,,,94.9,3.27,,,,,,,,,,,,,,,,25,8,1,C3 plants,S calculated from fit equation reported in Fig 4 legend. Raw data not given afaict. ,Yamori 2006,16898026,"Yamori W, Suzuki K, Noguchi K, Nakai M, Terashima I. 2006. Effects of Rubisco kinetics and Rubisco activation state on the temperature dependence of the photosynthetic rate in spinach leaves from contrasting growth temperatures. Plant, Cell and Environment 29, 1659–1670."
399,Thermococcus kodakaraensis,kodakarensis_yoshida,1,0,E. coli,52.3,6,0.25,0.0149,11,1,900,90,0.39,0.273,0.569,0.38,,0.00479,0.00377,0.00627,0.000436,0.000324,0.000603,,,25,8.3,3,Archaea,"Reported KRuBP <0.5, moved here because this is not a real value",Yoshida 2007,17675435,"Yoshida, Shosuke, Haruyuki Atomi, and Tadayuki Imanaka. 2007. “Engineering of a Type III Rubisco from a Hyperthermophilic Archaeon in Order to Enhance Catalytic Performance in Mesophilic Host Cells.” Applied and Environmental Microbiology 73 (19):6254–61."
404,Cylindrotheca fusiformis (CS-13),fusiformis_young,1,0,False,,,3.7,0.2,79,1,,,,,,,,,,,,,,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
405,Fragilariopsis cylindrus (CCMP 1102),cylindrus_young,1,0,False,64,8,3.5,0.3,77,1,667,255,0.469,0.116,0.901,0.5,,0.0547,0.041,0.0749,0.00071,0.00053,0.000974,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
406,Chaetoceros calcitrans (CS-178),calcitransCS178_young,1,0,False,31,2,3.4,0.6,75,1,490,54,0.71,0.435,1.05,0.7,,0.109,0.0705,0.152,0.00146,0.000938,0.00203,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
407,Phaeodactylum tricornutum (CS-29),tricornutumCS29_young,1,0,False,41,1,3.3,0.6,116,2,664,54,0.459,0.291,0.65,0.5,,0.0804,0.0524,0.11,0.000693,0.000451,0.000948,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
408,Phaeodactylum tricornutum (UTEX 642),tricornutumUTEX642_young,1,0,False,36,1,3.2,0.9,108,2,592,44,0.485,0.216,0.78,0.5,,0.0889,0.0398,0.139,0.000824,0.000368,0.00129,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
409,Skeletonema marinoi (CCMP 1332),marinoi_young,1,0,False,68,8,3.2,1.1,,,883,346,,,,,,0.047,0.0148,0.084,,,,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
410,Thalassiosira weissflogii (CCMP 1336),weissflogii_young,1,0,False,65,3,3.2,0.2,79,1,2.03e+03,458,1.26,0.707,1.89,1.3,,0.0493,0.0421,0.0572,0.000624,0.000532,0.000726,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
411,Chaetoceros calcitrans (CCMP 1315),calcitransCCMP1315_young,1,0,False,25,1,2.6,0.2,57,11,413,53,0.752,0.474,1.3,0.8,,0.104,0.0864,0.122,0.00182,0.00126,0.00298,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
412,Chaetoceros muelleri (CCMP 1316),muelleri_young,1,0,False,23,1.5,2.4,0.3,96,2,425,67,0.457,0.289,0.673,0.5,,0.105,0.0772,0.135,0.00109,0.000799,0.00142,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
413,Thalassiosira oceania (CS-427),oceania_young,1,0,False,65,5,2.4,0.4,80,2,954,228,0.431,0.206,0.73,0.4,,0.0371,0.0243,0.0514,0.000463,0.000303,0.000645,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
414,Bellerochea cf. horologicalis (CS-874/01),horologicalis_young,1,0,False,50,4,2.1,0.2,,,764,190,,,,,,0.042,0.0327,0.0536,,,,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
415,Synechococcus 7515,synechococcus_zhu,1,0,E. coli,81,5,6.6,0.2,47,2,460,35,0.797,0.641,0.989,,,0.0815,0.0714,0.0937,0.00174,0.00148,0.00204,,,25,8,1,Cyanobacteria,"In Galmes et al., species is 'lividus' = PCC7515, in primary source 'wildtype.' Lividus has beta-csome genes on IMG. ",Zhu 1998,https://doi.org/10.1023/A:1006020424581,"Zhu G, Jensen RG, Bohnert HJ, Wildner GF, Schlitter J (1998) Dependence of catalysis and CO2/O2 specificity of Rubisco on the carboxy-terminus of the large subunit at different temperatures. Photosynth Res 57:71–79."
416,Spinacia oleracea,oleracea_zhu,1,0,False,11,2,2.7,0.1,92,2,520,25,1.39,0.993,2.19,,,0.246,0.18,0.381,0.00267,0.00195,0.00416,,,25,8,1,C3 plants,,Zhu 1998,https://doi.org/10.1023/A:1006020424581,"Zhu G, Jensen RG, Bohnert HJ, Wildner GF, Schlitter J (1998) Dependence of catalysis and CO2/O2 specificity of Rubisco on the carboxy-terminus of the large subunit at different temperatures. Photosynth Res 57:71–79."
417,Triticum aestivum,aestivum_zhu,1,0,False,14,3,2.5,0.2,98,4,730,41,1.33,0.873,2.36,1.33,,0.178,0.12,0.312,0.00182,0.00122,0.00319,,,25,8,1,C3 plants,,Zhu 1998,https://doi.org/10.1023/A:1006020424581,"Zhu G, Jensen RG, Bohnert HJ, Wildner GF, Schlitter J (1998) Dependence of catalysis and CO2/O2 specificity of Rubisco on the carboxy-terminus of the large subunit at different temperatures. Photosynth Res 57:71–79."
418,Flaveria pringlei,pringlei_zhu,1,0,False,12,2,2.1,0.1,102,2,880,38,1.51,1.1,2.26,,,0.174,0.13,0.261,0.00171,0.00127,0.00256,,,25,8,1,C3 plants,,Zhu 1998,https://doi.org/10.1023/A:1006020424581,"Zhu G, Jensen RG, Bohnert HJ, Wildner GF, Schlitter J (1998) Dependence of catalysis and CO2/O2 specificity of Rubisco on the carboxy-terminus of the large subunit at different temperatures. Photosynth Res 57:71–79."
421,Rhodospirillum rubrum,rubrum_S_jordan84,1,0,False,,,,,11.3,0.907,,,,,,,,,,,,,,,,25,8.2,2,Alphaproteobacteria,Table 3,Jordan 1984,https://doi.org/10.1007/BF00398735,"Jordan DB, Ogren WL. 1984. The CO2/O2 specificity of ribulose 1,5-bisphosphate carboxylase/oxygenase. Dependence on ribulosebisphosphate concentration, pH and temperature. Planta 161, 308–313."
422,Synechococcus 6301,6301_green_a,1,0,E. coli,273,10,11.4,0.1,43.9,1.8,,,,,,,,0.0418,0.0389,0.045,,,,63.9,4.5,25,8,1,Cyanobacteria,"S measured at pH 8.3, rest at 8",Greene 2007,17391103,"Greene, D. N., Whitney, S. M., and Matsumura, I. (2007). Artificially evolved Synechococcus PCC6301 Rubisco variants exhibit improvements in folding and catalytic efficiency. Biochem. J 404, 517–524."
424,Agriophyllum squarrosum,squarrosum_kin_orr,1,0,False,15.4,1.5,2.8,0.1,93.9,1.1,339,35,0.658,0.492,0.876,,,0.182,0.151,0.228,0.00194,0.0016,0.00243,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
425,Agrostis scabra,scabra_kin_orr,1,0,False,22,1.7,3.6,0.1,103,1.6,653,131,1.03,0.616,1.49,,,0.164,0.141,0.195,0.00158,0.00136,0.00189,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
426,Agrostis stolonifera,stolonifera_kin_orr,1,0,False,25.3,1.5,5.2,0.1,105,1.4,802,138,1.57,1.02,2.15,,,0.205,0.183,0.234,0.00196,0.00174,0.00223,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
427,Amphicarpaea bracteata,bracteata_kin_orr,1,0,False,29,2.1,4,0.1,97.5,2.2,693,121,0.981,0.618,1.38,,,0.138,0.12,0.162,0.00142,0.00122,0.00167,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
